"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,2,25,3,0,0,1,2,1,14,22,5,-1,15,2,245,0
2018,1,100,2,0,98,3,2,1,12,24,5,-1,40,1,246,0
2018,3,0,1,3,12,3,1,1,12,29,5,-1,40,1,247,1
2018,3,-1,2,4,0,1,1,1,13,70,2,-1,-1,5,248,1
2018,3,999,2,4,13,1,1,4,16,34,5,-1,99,1,249,2
2018,1,-1,1,4,0,1,1,1,12,66,1,-1,-1,5,250,0
2018,3,-1,2,4,0,1,2,1,12,84,3,-1,-1,5,251,3
2018,2,99,1,2,13,1,1,3,16,37,1,-1,60,1,252,2
2018,2,-1,3,3,6,1,2,2,14,61,3,-1,-1,4,253,4
2018,2,-1,2,0,0,2,2,1,12,58,5,-1,-1,7,254,0
2018,1,-1,2,1,0,2,1,0,10,88,3,-1,-1,5,255,0
2018,1,-1,2,3,0,3,2,0,1,80,4,-1,-1,7,256,0
2018,3,30,2,4,12,3,1,1,12,36,5,-1,48,1,257,2
2018,1,85,2,0,0,1,2,3,16,33,5,-1,40,1,258,0
2018,1,-1,2,4,0,1,1,3,16,81,2,-1,-1,5,259,0
2018,2,50,2,1,12,3,1,1,12,31,1,-1,40,1,260,0
2018,1,-1,1,0,0,1,2,3,16,69,1,-1,-1,5,261,0
2018,3,100,2,0,9,1,1,3,16,26,5,-1,38,1,262,2
2018,2,95,1,7,12,1,1,3,16,45,1,-1,70,1,263,0
2018,2,99,2,3,0,1,2,3,16,54,1,-1,30,2,264,2
2018,1,-1,2,4,12,1,2,3,16,61,1,-1,-1,4,265,0
2018,2,-1,2,1,0,1,1,1,13,19,5,-1,-1,6,266,0
2018,3,100,2,2,12,1,1,3,16,58,4,-1,42,1,267,2
2018,2,100,2,2,12,1,2,2,14,50,3,-1,40,1,268,4
2018,3,70,2,0,12,2,1,3,16,36,5,-1,40,1,269,1
2018,1,1,2,1,12,1,2,1,12,27,5,-1,40,1,270,0
2018,3,10,2,2,12,3,1,1,12,51,5,-1,50,1,271,3
2018,1,30,2,1,0,1,1,3,18,48,1,-1,50,1,272,0
2018,3,95,3,1,10,1,2,1,14,29,5,-1,40,1,273,2
2018,1,5,1,0,9,1,2,4,19,65,3,-1,35,1,274,0
2018,3,-1,2,0,12,1,2,3,16,67,5,-1,-1,5,275,2
2018,2,100,2,1,12,1,1,3,16,53,1,-1,70,1,276,2
2018,3,80,1,0,13,1,1,4,18,45,1,-1,55,1,277,1
2018,3,50,2,1,9,1,2,1,15,36,3,-1,25,2,278,3
2018,3,10,1,7,12,1,1,1,12,60,1,-1,40,1,279,1
2018,2,50,1,1,12,2,2,3,16,63,1,-1,40,1,280,0
2018,1,70,2,5,12,1,2,1,12,52,3,-1,55,1,281,0
2018,3,30,1,2,12,1,1,1,13,34,1,-1,40,1,282,1
2018,2,40,2,5,12,1,1,1,14,58,1,-1,52,1,283,2
2018,1,-1,2,5,12,1,1,1,12,63,1,-1,-1,5,284,0
2018,3,-1,1,1,0,1,2,3,16,71,3,-1,-1,5,285,2
2018,2,-1,2,1,0,1,2,1,12,67,1,-1,-1,5,286,1
2018,3,-1,2,5,12,1,2,3,18,65,3,-1,-1,4,287,2
2018,1,80,2,5,12,1,2,1,15,39,5,-1,40,1,288,0
2018,2,0,1,3,0,1,2,1,12,46,4,-1,44,1,289,1
2018,1,-1,2,0,0,1,2,1,12,83,2,-1,-1,5,290,0
2018,3,100,1,5,12,1,1,3,17,59,3,-1,45,1,291,1
2018,3,10,1,9,13,1,2,4,19,63,1,-1,30,1,292,3
2018,2,100,2,1,12,1,2,1,12,38,5,-1,40,1,293,0
2018,1,5,2,5,12,1,1,1,12,50,3,-1,40,1,294,0
2018,3,-1,2,3,0,1,2,1,11,18,5,-1,-1,6,295,3
2018,1,75,2,2,12,1,2,3,16,45,1,-1,40,1,296,0
2018,2,-1,2,5,0,1,2,0,11,18,5,-1,-1,6,297,0
2018,1,-1,2,0,0,2,1,4,20,39,5,-1,-1,5,298,0
2018,1,75,2,1,12,1,2,4,20,31,5,-1,37,1,299,0
2018,3,100,2,3,12,2,2,3,16,44,5,-1,40,1,300,2
2018,2,85,1,0,12,2,2,3,16,46,1,-1,40,1,301,0
2018,3,-1,2,6,12,1,2,1,13,56,1,-1,-1,4,302,2
2018,1,0,1,1,12,1,1,1,12,37,1,-1,40,1,303,0
2018,2,60,1,2,12,1,2,4,20,52,3,-1,40,1,304,1
2018,3,50,2,4,4,1,1,1,14,69,1,-1,6,2,305,1
2018,1,15,1,3,12,3,1,1,12,34,4,-1,60,1,306,0
2018,3,80,2,4,13,1,1,3,17,25,5,-1,40,1,307,1
2018,3,0,1,3,98,3,1,0,8,33,5,-1,40,1,308,1
2018,2,100,2,5,11,1,2,1,12,45,3,-1,45,1,309,0
2018,3,-1,1,4,13,1,1,3,16,57,1,-1,-1,5,310,1
2018,1,-1,2,7,0,1,1,1,14,77,3,-1,-1,5,311,0
2018,1,100,2,2,12,3,1,3,16,29,5,-1,40,1,312,0
2018,3,60,1,0,13,1,1,4,18,58,2,-1,45,1,313,1
2018,3,100,1,2,12,1,1,4,20,42,1,-1,40,1,314,2
2018,1,100,3,1,12,1,1,1,13,65,3,-1,35,1,315,0
2018,3,90,3,4,12,2,2,3,16,25,5,-1,45,1,316,3
2018,1,-1,1,4,0,1,1,4,19,76,1,-1,-1,5,317,0
2018,2,-1,3,1,0,2,2,1,12,73,2,-1,-1,7,318,3
2018,2,90,2,5,12,1,2,4,20,34,1,-1,35,1,319,0
2018,1,90,1,0,12,2,1,1,12,51,1,-1,70,1,320,0
2018,3,-1,2,6,0,1,2,1,14,78,1,-1,-1,7,321,2
2018,1,0,1,2,8,2,1,1,12,53,1,-1,30,2,322,0
2018,1,-1,1,1,98,2,1,0,11,83,1,-1,-1,5,323,0
2018,3,-1,2,1,0,2,2,0,7,58,5,-1,-1,8,324,2
2018,2,-1,2,6,0,2,1,0,12,73,2,-1,-1,5,325,0
2018,2,-1,3,5,0,1,2,1,10,83,2,-1,-1,5,326,0
2018,1,-1,3,2,0,2,1,1,12,86,4,-1,-1,5,327,0
2018,3,-1,2,0,0,3,2,1,14,70,2,-1,-1,8,328,2
2018,2,-1,2,1,0,2,2,3,17,31,5,-1,-1,7,329,0
2018,3,-1,1,1,4,2,2,3,16,24,5,-1,-1,6,330,2
2018,2,50,2,0,10,1,1,2,14,42,5,-1,45,1,331,2
2018,3,90,2,1,12,1,2,4,16,34,1,-1,40,1,332,1
2018,2,-1,2,3,0,1,2,4,19,70,3,-1,-1,6,333,0
2018,2,-1,2,4,12,1,2,1,12,37,5,-1,-1,7,334,2
2018,1,-1,1,6,12,1,1,4,18,70,1,-1,-1,5,335,0
2018,1,-1,2,5,0,1,1,1,12,71,1,-1,-1,5,336,0
2018,2,77.5,2,5,12,1,2,4,16,26,5,-1,60,1,337,1
2018,3,25,1,0,13,1,1,4,16,54,1,-1,60,1,338,1
2018,3,70,2,2,12,1,2,3,16,40,1,-1,40,1,339,1
2018,2,40,1,4,13,1,2,3,16,56,3,-1,50,1,340,1
2018,3,50,2,5,12,1,1,4,20,60,2,-1,40,1,341,4
2018,1,999,2,7,3,1,1,3,16,72,1,-1,99,1,342,0
2018,3,100,1,3,12,2,2,3,16,35,1,-1,40,1,343,2
2018,2,80,1,6,13,1,1,4,18,55,1,-1,40,1,344,1
